id,zipcode,cond_type,seasonality,price_median_zs,price_buy,gain_tot,price_sale,date_sale
7129300520,98178,regular,fall,"216500,0","221900,0","228557,0","450457,0",summer
2976800796,98178,regular,fall,"216500,0","236000,0","243080,0","479080,0",summer
1180003090,98178,regular,fall,"216500,0","190000,0","108870,0","298870,0",winter
179000350,98178,regular,fall,"216500,0","194000,0","261900,0","455900,0",summer
3810000202,98178,regular,fall,"216500,0","251700,0","191292,0","442992,0",summer
4058802105,98178,regular,fall,"216500,0","150000,0","256395,0","406395,0",winter
179003055,98178,regular,fall,"216500,0","210000,0","283500,0","493500,0",summer
7813200115,98178,regular,fall,"216500,0","100000,0","108000,0","208000,0",winter
3352402250,98178,regular,fall,"216500,0","119900,0","129492,0","249392,0",summer
399000195,98178,regular,fall,"216500,0","200000,0","270000,0","470000,0",summer
185000161,98178,regular,fall,"216500,0","261000,0","198360,0","459360,0",summer
8068000305,98178,regular,fall,"216500,0","241000,0","183160,0","424160,0",winter
7812800865,98178,regular,fall,"216500,0","170000,0","183600,0","353600,0",summer
7657600195,98178,regular,fall,"216500,0","199950,0","341774,53500000003","541724,535",summer
2520900301,98178,regular,fall,"216500,0","239300,0","246479,0","485779,0",winter
7812800515,98178,regular,fall,"216500,0","159075,0","171801,0","330876,0",summer
179001425,98178,regular,fall,"216500,0","230000,0","76130,0","306130,0",winter
7812800775,98178,regular,fall,"216500,0","264250,0","367122,525","631372,525",summer
179000505,98178,regular,fall,"216500,0","257000,0","195320,0","452320,0",winter
1180002735,98178,good,fall,"216500,0","269000,0","192523,3","461523,3",winter
4279900140,98178,good,fall,"216500,0","251000,0","138301,0","389301,0",summer
3352401090,98178,regular,fall,"216500,0","238950,0","220957,065","459907,065",winter
2976800749,98178,regular,fall,"216500,0","150000,0","202500,0","352500,0",summer
7812800995,98178,regular,fall,"216500,0","200000,0","216000,0","416000,0",winter
4059400515,98178,regular,fall,"216500,0","229950,0","174762,0","404712,0",summer
7812801590,98178,regular,fall,"216500,0","219900,0","226497,0","446397,0",winter
3352400351,98178,good,fall,"216500,0","200000,0","166600,0","366600,0",summer
7812801850,98178,regular,fall,"216500,0","194000,0","209520,0","403520,0",winter
7657600005,98178,good,fall,"216500,0","249950,0","205208,95","455158,95",winter
2171400199,98178,regular,fall,"216500,0","277554,0","285880,62","563434,62",summer
7689600630,98178,good,fall,"216500,0","216500,0","119291,5","335791,5",winter
4059400190,98178,good,fall,"216500,0","225000,0","123975,0","348975,0",winter
3352401476,98178,regular,fall,"216500,0","199988,0","215987,03999999998","415975,04",summer
7689600215,98178,regular,fall,"216500,0","202500,0","273375,0","475875,0",summer
3352400661,98178,regular,fall,"216500,0","135900,0","146772,0","282672,0",summer
4060000240,98178,good,summer,"227000,0","205425,0","171119,025","376544,025",winter
5476200160,98178,regular,summer,"227000,0","164808,0","222490,80000000002","387298,80000000005",winter
2171400126,98178,regular,summer,"227000,0","269000,0","204440,0","473440,0",summer
7812800310,98178,regular,summer,"227000,0","260000,0","240422,0","500422,0",summer
3810000565,98178,regular,summer,"227000,0","255000,0","193800,0","448800,0",summer
5476200123,98178,regular,summer,"227000,0","200000,0","216000,0","416000,0",winter
7657000165,98178,regular,summer,"227000,0","200000,0","270000,0","470000,0",winter
3348401584,98178,regular,summer,"227000,0","210000,0","358953,0","568953,0",winter
3352402195,98178,regular,summer,"227000,0","169000,0","228150,0","397150,0",winter
9282801950,98178,regular,summer,"227000,0","279000,0","287370,0","566370,0",summer
8068000585,98178,good,summer,"227000,0","235000,0","129485,0","364485,0",summer
1180008315,98178,good,summer,"227000,0","212000,0","233836,0","445836,0",winter
7657000225,98178,regular,summer,"227000,0","205000,0","276750,0","481750,0",winter
7812801115,98178,regular,summer,"227000,0","153000,0","206550,0","359550,0",winter
2144800615,98178,regular,summer,"227000,0","190000,0","252757,0","442757,0",winter
2172000846,98178,regular,summer,"227000,0","248000,0","188480,0","436480,0",summer
